stationid,county,recordtype,startdate,stationname,areatype,noisetype,address,status,enddate,endreason,sideroad,sideroadwidth,longitude,latitude
1316620EN004,嘉義縣,人工,,嘉義縣環保局,第三類,一般地區環境音量,嘉義縣朴子市祥和新村祥和二路西段2-1號,使用中,,,,18,120.2826204,23.45972022
1216420TN002,雲林縣,人工,1000609,口湖測站,第三類,道路交通噪音,口湖鄉中正路一段280號,使用中,,,中正路,9,120.181149,23.585188
1216220EN001,雲林縣,人工,930101,元長測站,第一類,一般地區環境音量,元長鄉興工街9號,使用中,,,興工街,,120.331836,23.613444
1215920TN001,雲林縣,人工,930101,東勢測站,第二類,道路交通噪音,東勢鄉復國街11號,使用中,,,復國街,20,120.279919,23.679812
1215720EN002,雲林縣,人工,1000609,崙背測站,第三類,一般地區環境音量,崙背鄉南光路366號,使用中,,,南光路,14.2,120.350686,23.752629
1215620EN001,雲林縣,人工,930101,二崙測站,第二類,一般地區環境音量,二崙鄉隆興路28號,使用中,,,隆興路,,120.361512,23.776077
1215320TN002,雲林縣,人工,930101,大埤測站,第一類,道路交通噪音,大埤鄉豐田村14號,使用中,,,台1線,20,120.469766,23.642264
1215220TN002,雲林縣,人工,1000609,古坑測站,第二類,道路交通噪音,古坑鄉光昌路260號,使用中,,,光昌路,20,120.547045,23.639531
1215020EN002,雲林縣,人工,1000609,土庫測站,第二類,一般地區環境音量,土庫鎮成功路84號,使用中,,,成功路,6.8,120.351813,23.761123
1214820TN002,雲林縣,人工,1000609,虎尾測站,第三類,道路交通噪音,虎尾鎮光復路151號,使用中,,,光復路,10,120.445679,23.709399
1214720EN002,雲林縣,人工,1000609,斗南測站,第三類,一般地區環境音量,斗南鎮福德街151號,使用中,,,福德街,7.8,120.478837,23.679228
1214626TN001,雲林縣,自動,930101,斗六市大學路測站,第三類,道路交通噪音,斗六市大學路,使用中,,,大學路,20,120.535169,23.696485
1114220EN002,南投縣,人工,920101,國姓鄉乾溝村辦公處站,第二類,一般地區環境音量,南投縣國姓鄉乾溝村辦公室旁,使用中,,,,8,120.8190142,24.03026945
1114120TN001,南投縣,人工,920101,日月潭風景區站,第一類,道路交通噪音,南投縣魚池鄉日月潭中興路136號,使用中,,,中興路,8,120.907132,23.863719
1114120EN001,南投縣,人工,950101,魚池鄉日月潭進水口站,第一類,一般地區環境音量,南投縣魚池鄉,使用中,,,,,120.9042,23.848319
1113720TN003,南投縣,人工,920101,集集民眾服務站,第二類,道路交通噪音,南投縣集集鎮集集里成功路69號旁,使用中,,,成功路,15,120.780752,23.831067
1113620TN005,南投縣,人工,920101,竹山戶政事務所,第三類,道路交通噪音,南投縣竹山鎮中山里大智路823號旁,使用中,,,大智路,10,120.688334,23.754318
1113620EN004,南投縣,人工,920101,竹山工業區服務站,第一類,一般地區環境音量,南投縣竹山鎮延平路5號旁,使用中,,,,10,120.704641,23.767731
1113520TN003,南投縣,人工,920101,草屯鎮新生路站,第三類,道路交通噪音,南投縣草屯鎮新生路76號旁,使用中,,,新生路,10,120.684428,23.965195
1113520EN003,南投縣,人工,920101,草屯鎮衛生所站,第三類,一般地區環境音量,南投縣草屯鎮炎峰里碧山路50號,使用中,,,,8,120.6780777,23.98019736
